test,the_assistant,i,you,testgpt,the_gpt,all
iXyouXthe_gptXthe_assistantXtestgpt,0,0,0,6,0,0
the_gptXtestgptXthe_assistantXiXyou,0,0,6,0,0,0
the_assistantXyouXtestgptXthe_gptXi,0,0,0,6,0,0
youXthe_assistantXiXtestgptXthe_gpt,0,0,0,6,0,0
the_gptXthe_assistantXiXyouXtestgpt,0,0,0,6,0,0
youXtestgptXiXthe_gptXthe_assistant,5,0,1,0,0,0
youXtestgptXthe_assistantXiXthe_gpt,0,0,4,0,2,0
testgptXthe_assistantXyouXiXthe_gpt,0,1,3,0,2,0
the_gptXtestgptXyouXiXthe_assistant,0,0,6,0,0,0
the_assistantXiXtestgptXyouXthe_gpt,0,0,6,0,0,0
the_assistantXtestgptXthe_gptXyouXi,0,0,6,0,0,0
youXtestgptXthe_gptXiXthe_assistant,3,0,3,0,0,0
the_gptXiXyouXthe_assistantXtestgpt,1,0,2,3,0,0
iXthe_assistantXtestgptXthe_gptXyou,0,0,6,0,0,0
youXthe_gptXthe_assistantXtestgptXi,0,0,1,5,0,0
testgptXthe_gptXyouXthe_assistantXi,0,6,0,0,0,0
the_gptXthe_assistantXyouXtestgptXi,0,0,6,0,0,0
the_gptXyouXiXtestgptXthe_assistant,4,0,0,2,0,0
iXthe_assistantXtestgptXyouXthe_gpt,0,0,6,0,0,0
the_gptXyouXtestgptXiXthe_assistant,6,0,0,0,0,0
iXtestgptXthe_assistantXthe_gptXyou,0,0,6,0,0,0
the_gptXiXthe_assistantXtestgptXyou,0,0,6,0,0,0
testgptXyouXiXthe_gptXthe_assistant,4,0,1,1,0,0
testgptXiXthe_assistantXyouXthe_gpt,0,0,6,0,0,0
iXtestgptXyouXthe_assistantXthe_gpt,0,0,5,0,1,0
testgptXthe_gptXiXthe_assistantXyou,0,0,6,0,0,0
the_assistantXthe_gptXtestgptXiXyou,0,0,6,0,0,0
youXthe_gptXiXtestgptXthe_assistant,5,0,0,1,0,0
testgptXthe_gptXthe_assistantXiXyou,0,0,6,0,0,0
testgptXyouXiXthe_assistantXthe_gpt,3,0,0,1,2,0
the_assistantXtestgptXiXyouXthe_gpt,0,0,6,0,0,0
youXthe_assistantXthe_gptXiXtestgpt,0,0,0,6,0,0
the_assistantXthe_gptXiXtestgptXyou,0,0,6,0,0,0
the_assistantXthe_gptXtestgptXyouXi,0,0,6,0,0,0
testgptXyouXthe_assistantXthe_gptXi,0,2,2,2,0,0
youXiXthe_assistantXtestgptXthe_gpt,0,0,0,6,0,0
iXthe_gptXyouXtestgptXthe_assistant,1,0,1,4,0,0
youXthe_gptXiXthe_assistantXtestgpt,0,0,0,6,0,0
the_assistantXyouXtestgptXiXthe_gpt,0,0,0,4,2,0
the_assistantXiXthe_gptXtestgptXyou,0,0,5,1,0,0
iXtestgptXthe_gptXyouXthe_assistant,0,0,6,0,0,0
the_gptXiXtestgptXthe_assistantXyou,0,0,6,0,0,0
testgptXyouXthe_gptXiXthe_assistant,4,0,2,0,0,0
the_gptXtestgptXiXthe_assistantXyou,0,0,6,0,0,0
youXthe_gptXthe_assistantXiXtestgpt,0,0,0,6,0,0
the_gptXtestgptXthe_assistantXyouXi,0,0,5,1,0,0
the_assistantXyouXthe_gptXtestgptXi,0,0,0,6,0,0
the_assistantXiXtestgptXthe_gptXyou,0,0,6,0,0,0
the_gptXthe_assistantXyouXiXtestgpt,0,0,5,1,0,0
the_assistantXiXthe_gptXyouXtestgpt,0,0,5,1,0,0
the_assistantXtestgptXthe_gptXiXyou,0,0,6,0,0,0
testgptXiXthe_gptXthe_assistantXyou,0,0,6,0,0,0
youXthe_gptXtestgptXthe_assistantXi,0,0,6,0,0,0
iXthe_assistantXyouXthe_gptXtestgpt,0,0,2,4,0,0
the_gptXiXtestgptXyouXthe_assistant,0,0,6,0,0,0
the_assistantXthe_gptXyouXtestgptXi,0,5,0,1,0,0
the_gptXtestgptXyouXthe_assistantXi,0,1,5,0,0,0
the_gptXthe_assistantXtestgptXiXyou,0,0,6,0,0,0
youXiXtestgptXthe_gptXthe_assistant,0,0,3,3,0,0
testgptXthe_assistantXiXyouXthe_gpt,0,0,6,0,0,0
the_assistantXtestgptXiXthe_gptXyou,0,0,6,0,0,0
youXiXthe_assistantXthe_gptXtestgpt,0,0,0,6,0,0
iXthe_gptXyouXthe_assistantXtestgpt,0,0,2,4,0,0
